iter	Passed	Remaining
0	242	72379
1	484	72245
2	710	70358
3	998	73921
4	1339	79020
5	1605	78657
6	1863	78011
7	2131	77814
8	2396	77482
9	2674	77553
10	2916	76613
11	3198	76762
12	3412	75327
13	3627	74099
14	3874	73606
15	4130	73308
16	4343	72310
17	4603	72119
18	4826	71386
19	5036	70509
20	5288	70266
21	5532	69914
22	5772	69520
23	6009	69108
24	6255	68805
25	6522	68737
26	6817	68928
27	7118	69155
28	7362	68803
29	7626	68637
30	7885	68424
31	8159	68332
32	8410	68047
33	8676	67877
34	9065	68641
35	9388	68850
36	9641	68536
37	9901	68267
38	10133	67815
39	10370	67409
40	10609	67019
41	10869	66770
42	11093	66301
43	11360	66098
44	11622	65861
45	11887	65637
46	12124	65267
47	12383	65014
48	12635	64726
49	12891	64459
50	13111	64015
51	13363	63733
52	13621	63479
53	13896	63305
54	14113	62871
55	14349	62523
56	14556	62057
57	14782	61680
58	15027	61382
59	15334	61336
60	15682	61442
61	16003	61433
62	16250	61132
63	16475	60753
64	16697	60366
65	16967	60158
66	17213	59861
67	17463	59581
68	17696	59246
69	17910	58850
70	18144	58523
71	18386	58224
72	18691	58122
73	19004	58040
74	19281	57844
75	19573	57689
76	19775	57271
77	20020	56981
78	20325	56859
79	20598	56645
80	20857	56393
81	21121	56151
82	21358	55839
83	21632	55627
84	21878	55338
85	22101	54996
86	22358	54739
87	22543	54309
88	22805	54067
89	23051	53787
90	23275	53456
91	23515	53165
92	23770	52908
93	24051	52708
94	24316	52471
95	24597	52270
96	24849	52005
97	25113	51765
98	25458	51687
99	25764	51529
100	26054	51334
101	26293	51040
102	26562	50803
103	26846	50595
104	27089	50308
105	27362	50078
106	27614	49809
107	27880	49564
108	28152	49331
109	28495	49219
110	28827	49084
111	29127	48892
112	29390	48638
113	29669	48407
114	29971	48214
115	30194	47894
116	30433	47601
117	30694	47341
118	30965	47098
119	31227	46841
120	31494	46590
121	31768	46351
122	32057	46131
123	32318	45871
124	32627	45679
125	32911	45448
126	33216	45247
127	33523	45046
128	33795	44798
129	34047	44523
130	34322	44278
131	34595	44030
132	34866	43780
133	35154	43550
134	35388	43252
135	35724	43080
136	36079	42926
137	36316	42632
138	36584	42374
139	36881	42150
140	37151	41894
141	37389	41602
142	37643	41328
143	37937	41099
144	38198	40833
145	38459	40566
146	38778	40360
147	39068	40124
148	39338	39866
149	39619	39619
150	39903	39374
151	40152	39095
152	40418	38833
153	40705	38590
154	40963	38321
155	41205	38036
156	41446	37750
157	41730	37504
158	42027	37270
159	42327	37036
160	42621	36797
161	42866	36516
162	43140	36259
163	43409	35997
164	43681	35739
165	43920	35453
166	44226	35222
167	44501	34965
168	44781	34712
169	45047	34448
170	45314	34184
171	45566	33909
172	45870	33673
173	46188	33446
174	46497	33212
175	46756	32941
176	47012	32669
177	47267	32397
178	47549	32142
179	47815	31876
180	48113	31632
181	48377	31365
182	48632	31093
183	48895	30825
184	49302	30647
185	49622	30413
186	49880	30141
187	50162	29883
188	50443	29625
189	50681	29341
190	50917	29057
191	51197	28798
192	51465	28532
193	51708	28252
194	51992	27995
195	52360	27783
196	52741	27575
197	53012	27309
198	53249	27026
199	53493	26746
200	53731	26464
201	53972	26184
202	54254	25924
203	54492	25643
204	54796	25393
205	55073	25130
206	55348	24866
207	55600	24592
208	55895	24337
209	56152	24065
210	56394	23787
211	56660	23519
212	56944	23259
213	57162	22971
214	57430	22705
215	57638	22414
216	57877	22137
217	58160	21876
218	58426	21609
219	58747	21362
220	59088	21122
221	59398	20869
222	59656	20598
223	59912	20327
224	60139	20046
225	60368	19766
226	60624	19495
227	60890	19228
228	61137	18955
229	61364	18676
230	61644	18413
231	61910	18146
232	62243	17898
233	62550	17642
234	62783	17365
235	63064	17102
236	63325	16833
237	63614	16571
238	63876	16303
239	64129	16032
240	64380	15761
241	64621	15487
242	64877	15218
243	65178	14959
244	65533	14711
245	65826	14449
246	66084	14180
247	66356	13913
248	66622	13645
249	66892	13378
250	67207	13120
251	67468	12851
252	67739	12584
253	67982	12311
254	68217	12038
255	68469	11768
256	68799	11511
257	69126	11253
258	69380	10983
259	69622	10711
260	69883	10442
261	70102	10167
262	70356	9898
263	70609	9628
264	70881	9361
265	71173	9097
266	71426	8828
267	71726	8564
268	72064	8304
269	72341	8037
270	72606	7769
271	72923	7506
272	73189	7238
273	73439	6968
274	73738	6703
275	73983	6433
276	74224	6163
277	74464	5892
278	74696	5622
279	74945	5353
280	75208	5085
281	75520	4820
282	75782	4552
283	76089	4286
284	76373	4019
285	76699	3754
286	76990	3487
287	77248	3218
288	77522	2950
289	77783	2682
290	78033	2413
291	78322	2145
292	78649	1878
293	78946	1611
294	79178	1342
295	79441	1073
296	79690	804
297	79945	536
298	80168	268
299	80424	0
