iter	Logloss
0	0.573479541
1	0.4798259685
2	0.412601832
3	0.3570009497
4	0.3194462499
5	0.2914759916
6	0.2673468636
7	0.2487590627
8	0.2368598023
9	0.2249768953
10	0.217096193
11	0.2098792824
12	0.2047116357
13	0.1993657337
14	0.1945282869
15	0.1910777259
16	0.1891134694
17	0.1868077969
18	0.1847563724
19	0.183326103
20	0.1810588136
21	0.1795783365
22	0.1778147396
23	0.1767185366
24	0.1753191959
25	0.1744319068
26	0.1735260794
27	0.1728654448
28	0.1720200821
29	0.1711774379
30	0.1699318325
31	0.1692843202
32	0.1689079862
33	0.1681677998
34	0.1675238805
35	0.1670021263
36	0.1663169398
37	0.1656876536
38	0.1651171494
39	0.1647504835
40	0.1643516484
41	0.1639968543
42	0.1629984306
43	0.1628483946
44	0.1623696404
45	0.1620688148
46	0.1617912685
47	0.1607418698
48	0.1604349521
49	0.1597907241
50	0.1594668838
51	0.1592994538
52	0.1592009404
53	0.1589528715
54	0.1584741671
55	0.15831247
56	0.1581983051
57	0.157972201
58	0.1575412085
59	0.1574573618
60	0.1571525177
61	0.1562894074
62	0.1560783099
63	0.1556673875
64	0.1553453838
65	0.1549048451
66	0.154756315
67	0.1546046659
68	0.1544693246
69	0.154019695
70	0.1537183426
71	0.1534429776
72	0.1531737713
73	0.1525803358
74	0.1522863464
75	0.1521658009
76	0.1520248742
77	0.1517329935
78	0.1515575713
79	0.1509984994
80	0.1506132083
81	0.1503943167
82	0.1502589098
83	0.1499378048
84	0.1498754586
85	0.1496237383
86	0.1494287773
87	0.1492281799
88	0.1490922117
89	0.1488772712
90	0.148495705
91	0.1479918822
92	0.1478396138
93	0.1474045528
94	0.146792913
95	0.1459910225
96	0.1458119686
97	0.1455510985
98	0.1453890408
99	0.1446695347
100	0.1445953065
101	0.1442359682
102	0.1441560474
103	0.1439545302
104	0.1437635307
105	0.1436123709
106	0.1429922025
107	0.1429063235
108	0.1427579823
109	0.1426132904
110	0.1422089035
111	0.1419360634
112	0.1416710735
113	0.1413264031
114	0.1410896354
115	0.1407428359
116	0.1404476165
117	0.1398205596
118	0.1391197875
119	0.1388149371
120	0.1385192026
121	0.1378422288
122	0.1376191622
123	0.1373809984
124	0.1371103063
125	0.1368292826
126	0.1364335095
127	0.13616437
128	0.1357607297
129	0.1349894381
130	0.1343677614
131	0.1338246347
132	0.133436376
133	0.1327286386
134	0.1323531481
135	0.1321354575
136	0.1319304439
137	0.1314241207
138	0.131060009
139	0.1304248527
140	0.1301942855
141	0.1297430895
142	0.1294687468
143	0.1290913472
144	0.1287174373
145	0.1284411932
146	0.1281378191
147	0.1278027168
148	0.1275189068
149	0.1271611278
150	0.1270128391
151	0.1268493141
152	0.1264958709
153	0.1261542364
154	0.1258418788
155	0.1254980346
156	0.1252095714
157	0.1250520624
158	0.1247436934
159	0.1241400291
160	0.1240005546
161	0.1236291744
162	0.1233563702
163	0.1230769973
164	0.1228054024
165	0.1223123385
166	0.1219992953
167	0.1216153691
168	0.1214887026
169	0.1211459776
170	0.1207352732
171	0.1203705556
172	0.1200127008
173	0.1197825805
174	0.1195459764
175	0.1192534166
176	0.1191141254
177	0.1188284013
178	0.1183008451
179	0.1180413808
180	0.1178385447
181	0.1176303676
182	0.1173356671
183	0.1172233352
184	0.1168327992
185	0.1166169407
186	0.1162617455
187	0.1159896105
188	0.1158704968
189	0.1158507539
190	0.1156685179
191	0.115478324
192	0.1152179978
193	0.114946707
194	0.1145672239
195	0.1144067555
196	0.1141816948
197	0.1137994656
198	0.1134553354
199	0.1131929713
200	0.1128804422
201	0.1125378961
202	0.1122641374
203	0.1120547743
204	0.1118861475
205	0.1116371878
206	0.1112907421
207	0.1108308052
208	0.1106225841
209	0.110460385
210	0.1099933133
211	0.1097821354
212	0.1095662656
213	0.1093524669
214	0.1092226292
215	0.1090273879
216	0.1089560399
217	0.1086199448
218	0.1083767432
219	0.1082148694
220	0.1077865387
221	0.1075266379
222	0.107437954
223	0.1072393919
224	0.1070385737
225	0.1068616185
226	0.106656852
227	0.1062920974
228	0.105901183
229	0.1058086688
230	0.1056366528
231	0.1054106254
232	0.1051861706
233	0.1049911615
234	0.1048456721
235	0.1045826129
236	0.1043552338
237	0.1040723503
238	0.1038971238
239	0.1036641021
240	0.1034623459
241	0.1031259034
242	0.1029383102
243	0.1027343957
244	0.1024233485
245	0.1022229419
246	0.1019507694
247	0.1016677035
248	0.1015403767
249	0.1013285169
250	0.1011863496
251	0.1009349347
252	0.1008186852
253	0.1004962921
254	0.1002475147
255	0.1000851698
256	0.09997474827
257	0.099739041
258	0.0995824604
259	0.09942220531
260	0.09915716153
261	0.0989910709
262	0.09891985687
263	0.09873077849
264	0.098444663
265	0.09834312044
266	0.09811912325
267	0.09779451645
268	0.09749249417
269	0.09745638676
270	0.09730971468
271	0.09702448839
272	0.09695079937
273	0.09668808089
274	0.09655178682
275	0.09619354041
276	0.09595133024
277	0.09577396802
278	0.09557594706
279	0.09535493246
280	0.09520197656
281	0.0949536058
282	0.09480754194
283	0.09462095491
284	0.09435959926
285	0.09420613067
286	0.09377374102
287	0.09355300299
288	0.09343589012
289	0.09318021794
290	0.09296600577
291	0.09276112303
292	0.092513332
293	0.09232263416
294	0.09217403745
295	0.09202638307
296	0.09185137274
297	0.09159256388
298	0.09147020972
299	0.09134509055
