iter	Passed	Remaining
0	214	64098
1	407	60693
2	606	60057
3	811	60036
4	1001	59075
5	1176	57668
6	1372	57456
7	1592	58122
8	1776	57445
9	1963	56950
10	2252	59180
11	2509	60218
12	2704	59707
13	2920	59652
14	3104	58990
15	3285	58309
16	3466	57713
17	3657	57303
18	3861	57108
19	4059	56826
20	4246	56411
21	4429	55971
22	4609	55514
23	4778	54954
24	4961	54575
25	5173	54517
26	5407	54678
27	5602	54423
28	5813	54325
29	5998	53989
30	6228	54043
31	6427	53829
32	6595	53366
33	6781	53051
34	6944	52580
35	7135	52323
36	7331	52115
37	7513	51803
38	7683	51422
39	7850	51027
40	8041	50799
41	8219	50492
42	8401	50213
43	8568	49855
44	8737	49514
45	8916	49234
46	9095	48959
47	9357	49127
48	9627	49314
49	9882	49410
50	10129	49453
51	10339	49313
52	10544	49142
53	10766	49046
54	10953	48795
55	11175	48691
56	11419	48682
57	11636	48552
58	11887	48557
59	12094	48376
60	12321	48275
61	12553	48188
62	12762	48012
63	12947	47745
64	13166	47601
65	13338	47291
66	13562	47165
67	13751	46915
68	13930	46637
69	14112	46368
70	14325	46204
71	14522	45986
72	14724	45786
73	14917	45558
74	15099	45298
75	15285	45051
76	15435	44703
77	15630	44485
78	15828	44279
79	16071	44196
80	16269	43988
81	16550	44000
82	16771	43847
83	16992	43695
84	17213	43541
85	17445	43411
86	17636	43180
87	17806	42897
88	17980	42626
89	18184	42430
90	18412	42287
91	18634	42130
92	18833	41920
93	19034	41712
94	19224	41485
95	19420	41268
96	19740	41312
97	19988	41200
98	20208	41029
99	20410	40820
100	20608	40605
101	20809	40394
102	20973	40114
103	21204	39962
104	21433	39805
105	21656	39635
106	21908	39517
107	22134	39349
108	22354	39171
109	22583	39007
110	22772	38775
111	22999	38606
112	23369	38672
113	23630	38555
114	23832	38339
115	24161	38325
116	24403	38169
117	24608	37955
118	24805	37728
119	24989	37484
120	25196	37273
121	25405	37066
122	25593	36829
123	25812	36637
124	26060	36485
125	26258	36261
126	26445	36023
127	26676	35847
128	26904	35664
129	27106	35447
130	27344	35276
131	27587	35111
132	27805	34913
133	28024	34716
134	28242	34518
135	28443	34299
136	28608	34037
137	28792	33799
138	28968	33552
139	29129	33290
140	29327	33071
141	29521	32847
142	29707	32616
143	29885	32375
144	30064	32137
145	30254	31912
146	30507	31753
147	30769	31601
148	30993	31409
149	31187	31187
150	31392	30976
151	31585	30754
152	31765	30519
153	32032	30368
154	32205	30127
155	32404	29911
156	32614	29705
157	32825	29501
158	33028	29289
159	33228	29075
160	33423	28856
161	33620	28639
162	33821	28426
163	34020	28211
164	34212	27992
165	34386	27757
166	34579	27538
167	34766	27316
168	34960	27099
169	35147	26877
170	35323	26647
171	35528	26439
172	35712	26216
173	35902	25998
174	36063	25759
175	36249	25539
176	36436	25320
177	36600	25085
178	36799	24875
179	37076	24717
180	37322	24537
181	37575	24362
182	37807	24172
183	38026	23973
184	38235	23767
185	38448	23565
186	38619	23337
187	38805	23118
188	38990	22899
189	39147	22664
190	39343	22452
191	39536	22239
192	39721	22021
193	39895	21798
194	40057	21569
195	40256	21360
196	40516	21183
197	40757	20996
198	40957	20787
199	41172	20586
200	41358	20370
201	41553	20159
202	41745	19947
203	41962	19746
204	42186	19549
205	42376	19336
206	42604	19141
207	42810	18935
208	43037	18739
209	43228	18526
210	43453	18328
211	43719	18147
212	44019	17979
213	44245	17780
214	44444	17571
215	44641	17360
216	44847	17153
217	45060	16949
218	45260	16740
219	45432	16521
220	45625	16309
221	45831	16102
222	46028	15893
223	46225	15683
224	46418	15472
225	46614	15263
226	46807	15052
227	47004	14843
228	47303	14666
229	47583	14481
230	47809	14280
231	48008	14071
232	48200	13860
233	48408	13653
234	48605	13444
235	48785	13229
236	48977	13019
237	49143	12802
238	49323	12588
239	49531	12382
240	49730	12174
241	49924	11965
242	50112	11754
243	50363	11558
244	50601	11359
245	50816	11154
246	51006	10944
247	51222	10740
248	51385	10524
249	51577	10315
250	51776	10107
251	51971	9899
252	52136	9685
253	52332	9477
254	52547	9273
255	52758	9067
256	52939	8857
257	53104	8644
258	53291	8436
259	53487	8228
260	53739	8030
261	54031	7836
262	54331	7643
263	54533	7436
264	54733	7228
265	54916	7019
266	55125	6813
267	55305	6603
268	55496	6395
269	55708	6189
270	55919	5983
271	56126	5777
272	56327	5570
273	56533	5364
274	56720	5156
275	56887	4946
276	57101	4741
277	57276	4532
278	57476	4326
279	57654	4118
280	57824	3909
281	58024	3703
282	58221	3497
283	58439	3292
284	58664	3087
285	58850	2880
286	59078	2676
287	59292	2470
288	59525	2265
289	59740	2060
290	59958	1854
291	60149	1647
292	60378	1442
293	60642	1237
294	60928	1032
295	61148	826
296	61354	619
297	61546	413
298	61747	206
299	61947	0
